,Approximation (A),Detail (D1),Detail (D2)
0,3686.9524924650173,-160.12421079762424,171.04015444197344
1,3164.5349575008213,-485.4767343715538,468.9815413466326
2,3979.782595584114,305.19212509453973,-231.49526602353916
3,3302.1011630619946,-19.42864517216606,-129.00999304711326
4,3540.40270484158,304.4570062834252,15.306030942468968
5,3540.7294772761743,69.03338054945075,-1.8400317264461066
6,2597.9353229075286,-50.71958228922147,-299.6229829634435
7,2723.6122397473378,-70.90134644588561,6.518000407733359
8,2929.4520557566198,-278.41081849686424,13.353354433032157
9,3300.502375455203,365.56325961372426,107.61748427315943
10,2867.4578722759525,-59.714618951470335,-390.8358267598662
11,2820.52116283294,-54.11495183594835,384.42495100744776
12,2980.452019410806,52.77501046435631,-10.635311838973461
13,3159.0544314523363,-46.262980896777655,11.53452709893591
14,2934.4669306858927,82.98125049753122,193.91258229038695
15,2851.6174540377024,-100.35409300758829,75.98284732562401
16,,,-132.81808957189418
17,,,-262.2062950199901
18,,,-28.660843889349593
19,,,99.37760999433769
20,,,-387.34016650019163
21,,,-43.48142585394301
22,,,191.10030054267003
23,,,287.4805541983131
24,,,-190.1452873300936
