Date,precipitation,NINO,AMO,IOD,Zonalwind,EPTW
30/04/1986,-108.3637289,-0.33,0.019,0.294,1.3,2.4
31/05/1986,-118.3637289,-0.53,0.123,0.192,4.8,2.1
30/06/1986,223.5362711,-0.31,-0.086,0.046,6.6,-4.8
31/07/1986,323.5362711,-0.11,0.107,-0.065,-0.5,-3.4
31/08/1986,320.6362711,0.32,-0.083,-0.101,-6.5,-1.3
30/09/1986,68.63627113,0.53,-0.03,-0.1,-0.4,-3.4
31/10/1986,-77.16372887,0.81,0.209,0.266,1.5,0.7
30/11/1986,-123.9637289,1.01,0.203,-0.086,1.2,0.8
31/12/1986,-101.0637289,1.12,0.077,-0.186,-1.3,1.7
31/01/1987,-107.8637289,1.14,-0.065,-0.504,6.1,-7.5
28/02/1987,-123.6637289,1.13,0.168,0.367,-15.8,-0.9
31/03/1987,-65.66372887,0.98,0.347,-0.398,0,5.8
30/04/1987,-102.5637289,0.58,0.391,-0.417,2.7,3.9
31/05/1987,31.83627113,0.62,0.016,-0.262,2,2.9
30/06/1987,22.73627113,0.92,0.135,-0.507,0.8,-0.4
31/07/1987,149.8362711,1.29,-0.086,-0.68,-2,1.1
31/08/1987,245.6362711,1.57,-0.151,-0.207,6.8,-0.6
30/09/1987,-67.86372887,1.65,-0.128,-0.183,-5.4,0.1
31/10/1987,-58.86372887,1.24,0.062,-0.09,5,1
30/11/1987,-96.76372887,1.07,0.146,-0.766,3.9,0.6
31/12/1987,-123.9637289,0.94,-0.066,-0.389,5.4,4.5
31/01/1988,-123.8637289,0.9,0.197,-0.603,6.6,0.6
29/02/1988,-57.96372887,0.28,0.271,-0.246,-5,0.2
31/03/1988,-120.3637289,0.1,0.028,-0.066,9.7,3.8
30/04/1988,-106.7637289,-0.44,-0.072,-0.573,8.9,2.9
31/05/1988,-69.06372887,-1.25,0.137,-0.323,6.2,0.9
30/06/1988,11.59627113,-1.74,-0.041,-0.469,1.1,-1.4
31/07/1988,236.2962711,-1.74,-0.152,-0.261,5.2,-4.4
31/08/1988,281.0962711,-1.19,-0.07,-0.057,-2.3,0.3
30/09/1988,36.80627113,-1,0.046,-0.587,4.1,3.6
31/10/1988,-28.96372887,-1.9,0.143,-0.314,-0.5,-0.6
30/11/1988,-108.7237289,-2.05,0.068,-0.445,-0.6,-3.8
31/12/1988,-96.04372887,-1.96,-0.042,-0.293,5.6,-3.6
31/01/1989,-117.7637289,-1.97,0.213,-0.293,-0.7,-1.9
28/02/1989,-123.9637289,-1.47,0.197,-0.868,-14.8,-0.3
31/03/1989,-39.66372887,-1.21,-0.022,-0.453,-1.8,4.2
30/04/1989,-78.16372887,-1.08,0.062,-0.571,3.3,0.6
31/05/1989,-29.16372887,-0.88,-0.365,-0.234,10.6,-1.7
30/06/1989,-38.66372887,-0.59,-0.176,-0.372,-5.7,-3.8
31/07/1989,180.7362711,-0.57,-0.027,-0.485,2.4,-0.1
31/08/1989,301.5362711,-0.53,-0.344,-0.185,9.3,0.6
30/09/1989,15.33627113,-0.3,-0.229,-0.35,4.7,-1.5
31/10/1989,-20.36372887,-0.4,-0.14,-0.501,-0.5,-1.8
30/11/1989,-117.3637289,-0.45,-0.249,-0.169,-4.8,-2.5
31/12/1989,-86.26372887,-0.13,-0.251,-0.486,-2.8,-4
31/01/1990,-112.9037289,0.01,-0.259,-0.302,-0.9,-0.1
28/02/1990,-117.9937289,0.21,-0.211,-0.136,-2.3,-2.4
31/03/1990,-94.33372887,0.04,-0.319,-0.172,2.1,2.5
30/04/1990,-60.35372887,0.08,-0.117,-0.688,2.7,-4.7
31/05/1990,-33.48372887,0.08,-0.1,-0.03,-14.4,1.9
30/06/1990,61.88627113,-0.08,-0.351,-0.046,-0.2,4.3
31/07/1990,291.8562711,0.09,-0.176,0.135,0,4.5
31/08/1990,260.6362711,0.22,-0.06,-0.117,-1.6,2.5
30/09/1990,58.25627113,0.22,-0.405,0.055,0.3,-0.5
31/10/1990,-37.66372887,0.21,-0.275,-0.165,-2.4,-0.6
30/11/1990,-100.1237289,0.1,-0.244,-0.196,2.1,-1.7
31/12/1990,-105.7937289,0.35,-0.462,-0.413,-1.6,-1
31/01/1991,-121.9937289,0.49,-0.201,-0.597,3,1.8
28/02/1991,-119.3037289,0.32,-0.313,-0.028,1.9,1.8
31/03/1991,-91.29372887,0.03,0.104,-0.359,7.3,3.3
30/04/1991,-73.90372887,0.19,0.072,0.042,1.3,1.7
31/05/1991,-10.85372887,0.26,-0.099,-0.36,-2.7,1.3
30/06/1991,66.86627113,0.52,-0.105,-0.362,9,3.5
31/07/1991,290.7862711,0.76,-0.18,-0.513,3.1,1.1
31/08/1991,261.0162711,0.68,0.061,-0.334,5,3.5
30/09/1991,74.81627113,0.42,0.225,-0.58,-0.5,-0.5
31/10/1991,-56.22372887,0.86,0.152,-0.092,-5.1,-1.4
30/11/1991,-98.63372887,1.2,-0.195,-0.251,-5.5,0.4
