Date,precipitation,Standardized_Anomaly
1975-01-31,71.1,3.7200545736846706
1975-02-28,12.8,0.46164643231424096
1975-03-31,2.6,-0.9299721766471472
1975-04-30,17.8,-0.6655961992329006
1975-05-31,39.6,-1.0323449093629087
1975-06-30,266.0,1.0940744546627896
1975-07-31,403.2,-0.05335227531009539
1975-08-31,501.9,1.0042377912143774
1975-09-30,129.6,-1.3567115775668854
1975-10-31,0.0,-1.0671940542580702
1975-11-30,0.0,-0.966486471553227
1975-12-31,0.0,-0.7433650839838731
1976-01-31,0.0,-0.47837684288719245
1976-02-29,0.0,-0.431559165273407
1976-03-31,13.6,-0.6010448320821653
1976-04-30,9.7,-0.8803015844838523
1976-05-31,63.082848333012144,-0.6430843069208053
1976-06-30,137.9,-0.4742784971763603
1976-07-31,298.2,-1.275625073285947
1976-08-31,390.0,-0.26196090363654567
1976-09-30,215.3,0.42675609264507436
1976-10-31,98.0,0.1943722155522127
1976-11-30,134.9,3.031187553175132
1976-12-31,6.1,-0.3662697941218237
1977-01-31,0.0,-0.47837684288719245
1977-02-28,0.0,-0.431559165273407
1977-03-31,50.5,0.5023568965040011
1977-04-30,3.5,-1.044643978132729
1977-05-31,162.9,1.0115226658340444
1977-06-30,289.5,1.3817894770532662
1977-07-31,598.9,2.2247314062506107
1977-08-31,541.5,1.4523295545396373
1977-09-30,253.1,1.2133964419334295
1977-10-31,314.0,2.9749672592156933
1977-11-30,3.3,-0.8686931114227333
1977-12-31,32.1,1.2410216052901903
1978-01-31,2.6,-0.3248477052910343
1978-02-28,8.6,0.16856334560579392
1978-03-31,8.799999999999999,-0.7445767642559756
1978-04-30,25.3,-0.4667949165931305
1978-05-31,73.2,-0.47537856283721824
1978-06-30,492.7,3.8696061812977263
1978-07-31,564.6,1.8254556255784997
1978-08-31,405.4,-0.08770299567672271
1978-09-30,235.9,0.8554542724159769
1978-10-31,56.1,-0.345011730417694
1978-11-30,64.7,0.9508560740355413
1978-12-31,31.6,1.2101121553014977
1979-01-31,6.6000000000000005,-0.08864903206617553
1979-02-28,2.0,-0.291995790650337
1979-03-31,0.0,-1.0077186399079612
1979-04-30,5.2,-0.9995823540677143
1979-05-31,158.1,0.9319560449018027
1979-06-30,144.8,-0.3898004693255395
1979-07-31,554.7,1.7102127617693483
1979-08-31,465.3,0.5900923735955771
1979-09-30,260.1,1.359070580690533
1979-10-31,182.5,1.282151295133528
1979-11-30,0.0,-0.966486471553227
1979-12-31,0.0,-0.7433650839838731
1980-01-31,0.0,-0.47837684288719245
1980-02-29,10.1,0.2732358765730964
1980-03-31,35.24,0.046044962134762696
1980-04-30,103.8,1.6139918417031298
1980-05-31,37.6,-1.065497668084676
1980-06-30,166.7,-0.12167455484250006
1980-07-31,586.6,2.0815508784877257
1980-08-31,489.1,0.8594000495334858
1980-09-30,225.4,0.6369430642803227
1980-10-31,97.6,0.18922296547135434
1980-11-30,141.1,3.214920532814241
1980-12-31,0.0,-0.7433650839838731
1981-01-31,0.0,-0.47837684288719245
1981-02-28,0.0,-0.431559165273407
1981-03-31,0.0,-1.0077186399079612
1981-04-30,7.2,-0.946568678697109
1981-05-31,26.0,-1.257783668670926
1981-06-30,137.1,-0.48407305113007876
1981-07-31,462.7,0.6392689768762205
1981-08-31,464.9,0.5855661941680488
1981-09-30,247.3,1.0926950126775445
1981-10-31,155.7,0.937151539716022
1981-11-30,58.0,0.7523059186190845
1981-12-31,0.0,-0.7433650839838731
1982-01-31,14.3,0.3660334138916775
1982-02-28,0.6,-0.389690152886486
1982-03-31,57.9,0.7236352919386252
1982-04-30,3.9,-1.034041243058608
1982-05-31,78.6,-0.38586611428844675
1982-06-30,90.3,-1.057054457422602
1982-07-31,266.5,-1.6446350513415136
1982-08-31,670.6,2.9131539647742595
1982-09-30,201.8,0.14581311075637599
1982-10-31,182.6,1.2834386076537427
1982-11-30,67.9,1.0456859990105654
1982-12-31,0.0,-0.7433650839838731
1983-01-31,0.0,-0.47837684288719245
1983-02-28,0.0,-0.431559165273407
1983-03-31,0.0,-1.0077186399079612
1983-04-30,20.8,-0.5860756861769926
1983-05-31,89.6,-0.20352594131872667
1983-06-30,51.0,-1.5382119203990157
1983-07-31,449.6,0.48677589446209085
1983-08-31,527.6,1.2950448194330437
1983-09-30,198.9,0.08546239612843323
1983-10-31,51.6,-0.4029407938273498
1983-11-30,46.3,0.4055840054291526
1983-12-31,0.0,-0.7433650839838731
1984-01-31,0.0,-0.47837684288719245
1984-02-29,0.0,-0.431559165273407
1984-03-31,0.0,-1.0077186399079612
1984-04-30,6.2,-0.9730755163824116
1984-05-31,155.1,0.8822269068191518
1984-06-30,197.6,0.2566400916198711
1984-07-31,360.23,-0.5535528670150698
1984-08-31,262.6,-1.7035490513041738
1984-09-30,116.7,-1.6251682047049747
1984-10-31,0.0,-1.0671940542580702
1984-11-30,13.0,-0.5812399013421916
1984-12-31,0.0,-0.7433650839838731
1985-01-31,5.0,-0.18312850135611905
1985-02-28,10.0,0.2662577078419429
1985-03-31,12.8,-0.6249668207778003
1985-04-30,44.8,0.050088418270271676
1985-05-31,100.9,-0.016212854540741353
1985-06-30,177.3,0.00810328504426829
1985-07-31,359.32,-0.5641458979308608
1985-08-31,259.4,-1.7397584867243974
1985-09-30,146.7,-1.0008504671745342
1985-10-31,16.2,-0.8586494259833092
1985-11-30,15.7,-0.5012271521445151
1985-12-31,11.0,-0.06335718423263643
1986-01-31,3.3,-0.283512937476684
1986-02-28,2.3000000000000003,-0.2710612844568765
1986-03-31,42.0,0.24818576661287878
